#spec;afo id;file

BSI-eRp-ePA;O.Purp_8;Sources/eRpLocalStorage/CoreDataController.swift:76
BSI-eRp-ePA;O.Purp_8;Sources/eRpLocalStorage/CoreDataController.swift:100
BSI-eRp-ePA;O.Purp_9;doc/manual/requirement-notes.md:75
BSI-eRp-ePA;O.Rand_1;doc/manual/requirement-notes.md:120
BSI-eRp-ePA;O.Rand_1;Sources/IDP/internal/SecKeyRandom.swift:29
BSI-eRp-ePA;O.Rand_1;Sources/VAUClient/internal/VAURandom.swift:30
BSI-eRp-ePA;O.Resi_1;doc/manual/requirement-notes.md:190
BSI-eRp-ePA;O.Resi_1;Sources/eRpApp/Screens/Onboarding/OnboardingRegisterAuthenticationView.swift:28
BSI-eRp-ePA;O.Resi_1;Sources/FeatureCardWall/Login/CardWallLoginOptionView.swift:110
BSI-eRp-ePA;O.Resi_1;Sources/eRpApp/Screens/Main/DeviceSecurity/DeviceSecurityNoSystemPin/DeviceSecuritySystemPinView.swift:27
BSI-eRp-ePA;O.Resi_2;doc/manual/requirement-notes.md:192
BSI-eRp-ePA;O.Resi_2;Sources/eRpApp/Screens/Main/MainView.swift:105
BSI-eRp-ePA;O.Resi_2;Sources/eRpApp/Session/Helper/DeviceSecurityManager.swift:66
BSI-eRp-ePA;O.Resi_2;Sources/eRpApp/Session/Helper/DeviceSecurityManager.swift:120
BSI-eRp-ePA;O.Resi_2;Sources/eRpApp/Screens/Main/DeviceSecurity/DeviceSecurityRootedDevice/DeviceSecurityRootedDeviceView.swift:26
BSI-eRp-ePA;O.Resi_3;doc/manual/requirement-notes.md:193
BSI-eRp-ePA;O.Resi_4;doc/manual/requirement-notes.md:194
BSI-eRp-ePA;O.Resi_5;doc/manual/requirement-notes.md:195
BSI-eRp-ePA;O.Resi_6;doc/manual/requirement-notes.md:196
BSI-eRp-ePA;O.Resi_6;Sources/IDPLive/DefaultIDPSession.swift:277
BSI-eRp-ePA;O.Resi_6;Sources/IDPLive/DefaultIDPSession.swift:438
BSI-eRp-ePA;O.Resi_6;Sources/IDPLive/DefaultIDPSession.swift:304
BSI-eRp-ePA;O.Resi_6;Sources/IDPLive/DefaultIDPSession.swift:766
BSI-eRp-ePA;O.Resi_7;doc/manual/requirement-notes.md:197
BSI-eRp-ePA;O.Resi_8;doc/manual/requirement-notes.md:198
BSI-eRp-ePA;O.Resi_9;doc/manual/requirement-notes.md:199
BSI-eRp-ePA;O.Resi_10;doc/manual/requirement-notes.md:200
BSI-eRp-ePA;O.Source_1;Sources/eRpApp/Screens/CameraView/ErxTaskScannerView.swift:38
BSI-eRp-ePA;O.Source_1;doc/manual/requirement-notes.md:89
BSI-eRp-ePA;O.Source_1;Sources/eRpApp/Screens/CameraView/ScannerDomain.swift:147
BSI-eRp-ePA;O.Source_1;Sources/eRpApp/Screens/CameraView/ScannerDomain+Helper.swift:35
BSI-eRp-ePA;O.Source_1;Sources/eRpKit/ScannedErxTask.swift:121
BSI-eRp-ePA;O.Source_1;Sources/eRpApp/SceneDelegate.swift:269
BSI-eRp-ePA;O.Source_1;Sources/eRpApp/Screens/AppStartDomain.swift:248
BSI-eRp-ePA;O.Source_1;Sources/eRpApp/Screens/Main/MainDomain.swift:321
BSI-eRp-ePA;O.Source_1;Sources/eRpApp/Screens/Main/ExtAuth/ExtAuthPendingDomain.swift:164
BSI-eRp-ePA;O.Source_2;doc/manual/requirement-notes.md:90
BSI-eRp-ePA;O.Source_2;Sources/eRpLocalStorage/Pharmacy/PharmacyCoreDataStore.swift:30
BSI-eRp-ePA;O.Source_2;Sources/eRpLocalStorage/Prescriptions/ErxTaskCoreDataStore.swift:34
BSI-eRp-ePA;O.Source_2;Sources/eRpLocalStorage/Profiles/ProfileCoreDataStore.swift:30
BSI-eRp-ePA;O.Source_2;Sources/eRpLocalStorage/ShipmentInfo/ShipmentInfoCoreDataStore.swift:30
BSI-eRp-ePA;O.Source_2;Sources/eRpLocalStorage/AVSTransaction/AVSTransactionCoreDataStore.swift:30
BSI-eRp-ePA;O.Source_2;doc/manual/requirement-notes.md:91
BSI-eRp-ePA;O.Source_3;doc/manual/requirement-notes.md:92
BSI-eRp-ePA;O.Source_4;doc/manual/requirement-notes.md:93
BSI-eRp-ePA;O.Source_5;doc/manual/requirement-notes.md:94
BSI-eRp-ePA;O.Source_5;Sources/IDPLive/IDPInterceptor.swift:63
BSI-eRp-ePA;O.Source_5;Sources/IDPLive/DefaultIDPSession.swift:124
BSI-eRp-ePA;O.Source_5;Sources/FeatureCardWall/ReadCard/CardWallReadCardDomain.Environment+Biometrics.swift:82
BSI-eRp-ePA;O.Source_5;Sources/FeatureCardWall/ReadCard/CardWallReadCardDomain.Environment+Biometrics.swift:106
BSI-eRp-ePA;O.Source_5;Sources/FeatureCardWall/ReadCard/CardWallReadCardDomain.Environment+Biometrics.swift:150
BSI-eRp-ePA;O.Source_5;Sources/FeatureCardWall/ReadCard/CardWallReadCardDomain.Environment+Biometrics.swift:166
BSI-eRp-ePA;O.Source_6;doc/manual/requirement-notes.md:95
BSI-eRp-ePA;O.Source_7;doc/manual/requirement-notes.md:96
BSI-eRp-ePA;O.Source_7;Sources/eRpApp/Session/KeychainStorage.swift:36
BSI-eRp-ePA;O.Source_8;doc/manual/requirement-notes.md:97
BSI-eRp-ePA;O.Source_8;Sources/eRpApp/Screens/Settings/SettingsView.swift:37
BSI-eRp-ePA;O.Source_8;Sources/eRpApp/Screens/Settings/SettingsView.swift:161
BSI-eRp-ePA;O.Source_8;Sources/eRpApp/Screens/DebugView/DebugView.swift:32
BSI-eRp-ePA;O.Source_9;doc/manual/requirement-notes.md:98
BSI-eRp-ePA;O.Source_10;doc/manual/requirement-notes.md:99
BSI-eRp-ePA;O.TrdP_1;doc/manual/requirement-notes.md:101
BSI-eRp-ePA;O.TrdP_2;doc/manual/requirement-notes.md:102
BSI-eRp-ePA;O.TrdP_3;doc/manual/requirement-notes.md:103
BSI-eRp-ePA;O.TrdP_4;doc/manual/requirement-notes.md:104
BSI-eRp-ePA;O.TrdP_5;doc/manual/requirement-notes.md:105
BSI-eRp-ePA;O.TrdP_6;doc/manual/requirement-notes.md:106
BSI-eRp-ePA;O.TrdP_7;doc/manual/requirement-notes.md:108
BSI-eRp-ePA;O.TrdP_8;doc/manual/requirement-notes.md:110
